date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10,open,high,low,close
20240422,662,228,64,434,50434.0,0.7438202247191011,2615.72,2629.44,2604.37,2629.44
20240423,472,406,76,66,50500.0,0.7063229877542283,2632.15,2641.78,2619.72,2623.02
20240424,612,273,69,339,50839.0,0.7036325215677892,2662.84,2677.85,2662.84,2675.75
20240425,361,491,102,-130,50709.0,0.6527373213168809,2646.8,2656.51,2628.62,2628.62
20240426,461,409,83,52,50761.0,0.6304005460722233,2650.94,2662.1,2641.35,2656.33
20240429,719,167,67,552,51313.0,0.6633299768499803,2675.46,2687.44,2665.21,2687.44
20240430,442,410,101,32,51345.0,0.6370480433723483,2693.22,2710.23,2687.29,2692.06
20240502,359,516,78,-157,51188.0,0.5958185289929603,2679.04,2692.47,2678.84,2683.65
20240503,394,478,81,-84,51104.0,0.5696396805188441,2704.31,2705.26,2676.63,2676.63
20240507,585,286,82,299,51403.0,0.5881855187962862,2718.17,2734.36,2716.62,2734.36
20240508,577,283,94,294,51697.0,0.6032300122075323,2732.11,2745.05,2727.93,2745.05
20240509,355,536,63,-181,51516.0,0.5659934157629019,2743.29,2749.14,2710.25,2712.14
20240510,493,366,95,127,51643.0,0.5674351886192184,2737.95,2743.58,2723.21,2727.63
20240513,381,485,87,-104,51539.0,0.5442567562563707,2735.2,2738.38,2713.92,2727.21
20240514,527,344,82,183,51722.0,0.5553103759830591,2732.98,2735.82,2722.74,2730.34
20240516,534,347,72,187,51909.0,0.564550198242666,2770.27,2773.46,2748.22,2753.0
20240517,307,577,69,-270,51639.0,0.5250474472664182,2751.47,2752.17,2724.62,2724.62
20240520,405,476,72,-71,51568.0,0.5131669806392972,2741.24,2756.41,2734.64,2742.14
20240521,292,588,73,-296,51272.0,0.4801944717627308,2733.03,2734.48,2719.74,2724.18
20240522,402,478,73,-76,51196.0,0.47594423722735824,2723.46,2733.07,2707.87,2723.46
20240523,349,534,70,-185,51011.0,0.4612713737512422,2719.03,2734.27,2704.0,2721.81
20240524,264,621,68,-357,50654.0,0.4316411393866096,2693.65,2696.99,2681.17,2687.6
20240527,425,443,85,-18,50636.0,0.44218481157186784,2697.16,2725.08,2693.66,2722.99
20240528,406,467,80,-61,50575.0,0.44634448240343283,2715.52,2730.12,2714.34,2722.85
20240529,220,676,57,-456,50119.0,0.40983379729112035,2719.56,2721.63,2677.07,2677.3
20240530,199,683,71,-484,49635.0,0.3763410310139057,2666.63,2666.63,2635.44,2635.44
20240531,534,335,84,199,49834.0,0.4196425571251968,2657.87,2664.48,2635.77,2636.52
20240603,637,249,67,388,50222.0,0.47406420588100956,2657.81,2690.73,2657.81,2682.52
20240604,228,645,80,-417,49805.0,0.4353558747898669,2668.73,2679.47,2659.43,2662.1
20240605,421,444,88,-23,49782.0,0.44469211615755266,2681.11,2697.43,2667.63,2689.5
20240607,463,402,88,61,49843.0,0.46115902514834967,2718.25,2729.63,2705.23,2722.67
20240610,379,500,74,-121,49722.0,0.45570679987057544,2698.71,2718.89,2689.19,2701.17
20240611,351,513,89,-162,49560.0,0.4467146544395617,2716.72,2718.88,2702.17,2705.32
20240612,502,375,76,127,49687.0,0.4695676135059045,2709.65,2730.3,2707.44,2728.17
20240613,396,464,93,-68,49619.0,0.4679126140101163,2764.18,2776.72,2752.61,2754.89
20240614,395,486,72,-91,49528.0,0.46435652837542174,2759.22,2769.16,2750.86,2758.42
20240617,362,524,67,-162,49366.0,0.45421495559877,2754.83,2759.86,2741.03,2744.1
20240618,378,499,76,-121,49245.0,0.4499967497191968,2765.7,2772.35,2759.03,2763.92
20240619,342,539,72,-197,49048.0,0.4387601102593655,2786.16,2799.32,2786.16,2797.33
20240620,499,371,83,128,49176.0,0.4632697662832635,2802.1,2812.62,2796.37,2807.63
20240621,297,581,75,-284,48892.0,0.4405423165427985,2794.87,2797.0,2777.33,2784.26
20240624,235,640,79,-405,48487.0,0.40927488236618575,2772.85,2782.9,2758.09,2764.73
20240625,497,375,82,122,48609.0,0.4384892907433096,2765.76,2780.42,2765.76,2774.39
20240626,355,515,84,-160,48449.0,0.43295414279207045,2767.43,2792.07,2762.98,2792.05
20240627,264,622,68,-358,48091.0,0.40841127997372967,2767.62,2784.33,2761.55,2784.06
20240628,581,296,77,285,48376.0,0.4546066375901988,2792.79,2797.82,2782.4,2797.82
20240701,381,495,79,-114,48262.0,0.4510293410918563,2792.96,2805.95,2783.98,2804.31
20240702,197,694,64,-497,47765.0,0.40922398594180137,2798.65,2805.42,2776.62,2780.86
20240703,271,589,95,-318,47447.0,0.3921134937832497,2797.14,2799.7,2774.71,2794.01
20240704,486,389,80,97,47544.0,0.4218071442642173,2817.06,2824.94,2808.88,2824.94
20240705,400,463,92,-63,47481.0,0.4293875581481276,2836.21,2871.96,2836.21,2862.23
20240708,519,348,88,171,47652.0,0.46015635065847116,2862.58,2868.99,2855.53,2857.76
20240709,455,409,90,46,47698.0,0.47224071787881644,2872.63,2875.37,2854.13,2867.38
20240710,426,434,94,-8,47690.0,0.4764421941207229,2863.05,2871.56,2858.87,2867.99
