date,new_highs,new_lows,nhnl
20260316,50,26,24
20260317,32,14,18
20260318,48,12,36
20260319,49,30,19
20260320,61,12,49
20260323,27,58,-31
20260324,40,22,18
20260325,76,4,72
20260326,35,13,22
20260327,51,9,42
20260330,37,34,3
20260331,14,71,-57
20260401,42,7,35
20260402,22,73,-51
20260403,36,30,6
20260406,32,65,-33
20260407,23,70,-47
20260408,42,15,27
20260409,32,17,15
20260410,64,1,63
20260413,73,0,73
20260414,96,4,92
20260415,101,1,100
20260416,93,0,93
20260417,86,2,84
20260420,79,2,77
20260421,66,3,63
20260422,78,5,73
20260423,48,4,44
20260424,95,4,91
