date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20230102,178,712,53,-534,49466.0,0.2
20230103,343,523,77,-180,49286.0,0.23564980054587445
20230104,651,224,68,427,49713.0,0.3280771095375336
20230105,501,374,68,127,49840.0,0.3725306220891509
20230106,602,262,79,340,50180.0,0.43148128339280695
20230109,799,93,51,706,50886.0,0.5158919428330059
20230110,441,398,104,43,50929.0,0.5176617250332677
20230111,602,246,95,356,51285.0,0.5526151678231024
20230112,492,365,86,127,51412.0,0.5565207159668599
20230113,522,325,96,197,51609.0,0.5673883672657908
20230116,499,350,94,149,51758.0,0.5710905358472971
20230117,250,618,75,-368,51390.0,0.5196228808168292
20230118,296,548,99,-252,51138.0,0.4889116116635754
20230119,473,362,108,111,51249.0,0.503012603337155
20230120,568,254,121,314,51563.0,0.5371916876231224
20230125,528,330,85,198,51761.0,0.5514085835797575
20230126,621,254,68,367,52128.0,0.5801914385133081
20230127,572,294,77,278,52406.0,0.5947944648092298
20230130,233,648,62,-415,51991.0,0.5347358695152599
20230131,501,370,74,131,52122.0,0.5420931511460308
20230201,513,349,83,164,52286.0,0.5517357800665373
20230202,607,265,72,342,52628.0,0.577983986860111
20230203,405,465,74,-60,52568.0,0.5575354876817835
20230206,419,466,59,-47,52521.0,0.5422465495002985
20230207,376,499,69,-123,52398.0,0.5217861379028416
20230208,593,285,66,308,52706.0,0.5497156825127618
20230209,365,511,68,-146,52560.0,0.5255249523589263
20230210,285,610,49,-325,52235.0,0.48787237087365676
20230213,342,532,70,-190,52045.0,0.47031454850137133
20230214,491,376,77,115,52160.0,0.4877702025748349
20230215,110,806,28,-696,51464.0,0.4209187723329633
20230216,673,216,55,457,51921.0,0.48202997212762444
20230217,396,478,70,-82,51839.0,0.4767680217137397
20230220,562,323,59,239,52078.0,0.5055426084180726
20230221,551,325,67,226,52304.0,0.5279885766675056
20230222,148,760,35,-612,51692.0,0.4616262163122603
20230223,511,365,67,146,51838.0,0.48375478304336444
